fold,epoch,train_loss_frontal,train_loss_lateral,val_loss_frontal,val_loss_lateral,acc_front,prec_front,recall_front,mcc_front,acc_lat,prec_lat,recall_lat,mcc_lat
4,1,0.6879415419003735,0.6270733271559624,0.7084630917716812,0.6076065773492331,0.5824175824175825,0.5588235294117647,0.8260869565217391,0.18340467124611032,0.8351648351648352,0.8297872340425532,0.8478260869565217,0.6703722387645885
4,2,0.6613080895110353,0.6140970501181198,0.7157246319802253,0.5971970630216075,0.5824175824175825,0.5606060606060606,0.8043478260869565,0.1791021704751001,0.8571428571428571,0.8113207547169812,0.9347826086956522,0.7223989639955759
4,3,0.656937945868871,0.5986684008820417,0.7043227160369957,0.6157154663578495,0.5714285714285714,0.5538461538461539,0.782608695652174,0.1529105703085215,0.8351648351648352,0.8297872340425532,0.8478260869565217,0.6703722387645885
4,4,0.6490287419867842,0.6000036260853076,0.6906998622548449,0.6052936564435015,0.6263736263736264,0.59375,0.8260869565217391,0.2717728553057061,0.8461538461538461,0.8478260869565217,0.8478260869565217,0.6922705314009662
4,5,0.6461676346112604,0.5904056033043013,0.6905347711437351,0.5943256786891392,0.6043956043956044,0.5833333333333334,0.7608695652173914,0.21659443060468533,0.8571428571428571,0.851063829787234,0.8695652173913043,0.7143548441918255
4,6,0.6404093824020803,0.590872421493269,0.6846784196057163,0.6242178613012963,0.6153846153846154,0.5797101449275363,0.8695652173913043,0.2628844260719346,0.8021978021978022,0.7916666666666666,0.8260869565217391,0.604741807723687
4,7,0.6289009966262399,0.5696958927259054,0.6840371777723123,0.591519397693676,0.6153846153846154,0.5846153846153846,0.8260869565217391,0.2502172968684897,0.8681318681318682,0.8695652173913043,0.8695652173913043,0.736231884057971
4,8,0.6284144778774209,0.584999113213526,0.6870464911827674,0.5839648430164044,0.6043956043956044,0.578125,0.8043478260869565,0.22365742761539628,0.8681318681318682,0.8863636363636364,0.8478260869565217,0.7370711349069917
4,9,0.6212398297166171,0.564400882590307,0.6820439414663629,0.5893125684706719,0.6483516483516484,0.6129032258064516,0.8260869565217391,0.31411784385608416,0.8571428571428571,0.8235294117647058,0.9130434782608695,0.718267309842754
4,10,0.610557037510284,0.5667623101848446,0.7087054835571037,0.5935280997674544,0.6043956043956044,0.5892857142857143,0.717391304347826,0.21198965429135935,0.8571428571428571,0.8235294117647058,0.9130434782608695,0.718267309842754
4,11,0.6176654712794578,0.5673136164064276,0.6828354813240387,0.5920117811842279,0.6373626373626373,0.5970149253731343,0.8695652173913043,0.30584825289060624,0.8681318681318682,0.8541666666666666,0.8913043478260869,0.7368174185305402
4,12,0.6061835899744948,0.5594797229113644,0.695233187177679,0.5985196822292203,0.6263736263736264,0.5967741935483871,0.8043478260869565,0.26694833264997253,0.8461538461538461,0.8809523809523809,0.8043478260869565,0.6952548756211597
4,13,0.6035781687253142,0.5574354121129806,0.7007055741090041,0.5858903363510802,0.6153846153846154,0.5901639344262295,0.782608695652174,0.24148332126886954,0.8901098901098901,0.875,0.9130434782608695,0.7808426221328246
4,14,0.5982364830905444,0.5541800435275248,0.7051620031451131,0.5803722071123647,0.6263736263736264,0.6071428571428571,0.7391304347826086,0.25716777733705887,0.8901098901098901,0.9090909090909091,0.8695652173913043,0.7810537403342286
4,15,0.5920551447019186,0.5488759796913356,0.7037609009952336,0.5987228960781307,0.6593406593406593,0.6363636363636364,0.7608695652173914,0.3235366855896928,0.8571428571428571,0.9024390243902439,0.8043478260869565,0.7189405097646486
4,16,0.5938352068809614,0.5511641309685903,0.6848957322456024,0.5867731178199852,0.6703296703296703,0.6666666666666666,0.6956521739130435,0.3405905861099805,0.8791208791208791,0.8888888888888888,0.8695652173913043,0.7584541062801933
4,17,0.5876933370551017,0.5478088311953088,0.6949316819945535,0.5753401268969526,0.6593406593406593,0.6470588235294118,0.717391304347826,0.31971654645439657,0.9010989010989011,0.9512195121951219,0.8478260869565217,0.8072910653197911
4,18,0.58187419306742,0.546559905842559,0.6777044292334672,0.589550779416011,0.6593406593406593,0.6415094339622641,0.7391304347826086,0.3212838782244731,0.8681318681318682,0.925,0.8043478260869565,0.7430854892478898
4,19,0.5822832821166679,0.5407322052406938,0.6814637177593106,0.5881267838425689,0.6813186813186813,0.6888888888888889,0.6739130434782609,0.36280193236714975,0.8791208791208791,0.9487179487179487,0.8043478260869565,0.7677318791904383
4,20,0.5743643791708227,0.543774658196593,0.7020999121141958,0.6060633757612207,0.6593406593406593,0.6595744680851063,0.6739130434782609,0.3185113953466935,0.8571428571428571,0.8113207547169812,0.9347826086956522,0.7223989639955759
