fold,best_mcc_frontal,best_mcc_lateral
1,0.44155844155844154,0.8177893426774406
2,0.4222477180944766,0.7150969419341943
3,0.37284851924962253,0.6085989058527203
4,0.323415144619467,0.7979614177655611
5,0.28345893926936977,0.47777984732195655
